key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,50.7846,left,6.3725,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,,,,,,,,,,,,,,,,,,,,,
,,,left,6.1603,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,,,,,,,,,,,,,,,,,,,,,
,,,right,5.7044,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,highway_359.jpg,highway_389.jpg,highway_359.jpg,right,badlands_31.jpg,highway_359.jpg,golf_course_337.jpg,mountain_292.jpg,mountain_292.jpg,mountain_292.jpg,1,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,space,6.5384,right,7.8363,0,0,0,0,1,highway_389.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,playground_76.jpg,playground_22.jpg,playground_76.jpg,right,golf_course_316.jpg,highway_248.jpg,playground_76.jpg,bridge_78.jpg,bridge_78.jpg,bridge_78.jpg,2,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,right,1.8676,0,1,1,1,1,playground_22.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,playground_240.jpg,playground_240.jpg,playground_40.jpg,left,playground_240.jpg,bridge_2.jpg,mountain_280.jpg,highway_144.jpg,highway_144.jpg,highway_144.jpg,0,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,right,5.427,0,2,2,2,1,playground_40.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_82.jpg,bridge_91.jpg,right,badlands_59.jpg,bridge_91.jpg,mountain_34.jpg,golf_course_46.jpg,golf_course_46.jpg,golf_course_46.jpg,1,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,left,2.5842,0,3,3,3,1,bridge_82.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_191.jpg,bridge_191.jpg,bridge_184.jpg,left,bridge_191.jpg,highway_146.jpg,playground_41.jpg,badlands_30.jpg,badlands_30.jpg,badlands_30.jpg,0,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,left,1.6556,0,4,4,4,1,bridge_184.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,badlands_70.jpg,badlands_119.jpg,badlands_70.jpg,right,golf_course_198.jpg,badlands_70.jpg,bridge_259.jpg,highway_18.jpg,highway_18.jpg,highway_18.jpg,1,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,right,2.0764,0,5,5,5,1,badlands_119.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_193.jpg,golf_course_123.jpg,left,highway_319.jpg,badlands_220.jpg,golf_course_193.jpg,mountain_44.jpg,mountain_44.jpg,mountain_44.jpg,2,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,right,2.1222,0,6,6,6,1,golf_course_123.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_177.jpg,highway_87.jpg,left,bridge_130.jpg,highway_177.jpg,playground_183.jpg,golf_course_83.jpg,golf_course_83.jpg,golf_course_83.jpg,1,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,right,1.2462,0,7,7,7,1,highway_87.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,highway_273.jpg,highway_384.jpg,highway_273.jpg,right,playground_80.jpg,mountain_199.jpg,highway_273.jpg,golf_course_325.jpg,golf_course_325.jpg,golf_course_325.jpg,2,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,right,1.8673,0,8,8,8,1,highway_384.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_10.jpg,playground_12.jpg,left,badlands_108.jpg,playground_10.jpg,mountain_162.jpg,highway_398.jpg,highway_398.jpg,highway_398.jpg,1,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,left,1.4347,0,9,9,9,1,playground_12.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_123.jpg,mountain_94.jpg,left,playground_264.jpg,mountain_123.jpg,highway_219.jpg,bridge_21.jpg,bridge_21.jpg,bridge_21.jpg,1,A39JL0U9RYW7BB,39,female,7,2023-07-17_14h21.03.040,working,2022.2.4,Win32,3.851412506,,,right,1.3373,0,10,10,10,1,mountain_94.jpg,0,mountain,,,,,,,,,,,
