key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,305.4887,right,10.4795,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A2TW985PTHOP3A,55,male,8,2023-07-17_14h07.05.262,working,2022.2.4,Win32,22.88800897,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.6635,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A2TW985PTHOP3A,55,male,8,2023-07-17_14h07.05.262,working,2022.2.4,Win32,22.88800897,,,,,,,,,,,,,,,,,,,,,,,
,,,left,4.166700001,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A2TW985PTHOP3A,55,male,8,2023-07-17_14h07.05.262,working,2022.2.4,Win32,22.88800897,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_144.jpg,playground_65.jpg,left,playground_144.jpg,mountain_84.jpg,badlands_226.jpg,highway_325.jpg,highway_325.jpg,highway_325.jpg,0,A2TW985PTHOP3A,55,male,8,2023-07-17_14h07.05.262,working,2022.2.4,Win32,22.88800897,space,2.6346,left,2.2979,0,0,0,0,1,playground_65.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_154.jpg,mountain_131.jpg,left,bridge_18.jpg,mountain_154.jpg,badlands_218.jpg,highway_75.jpg,highway_75.jpg,highway_75.jpg,1,A2TW985PTHOP3A,55,male,8,2023-07-17_14h07.05.262,working,2022.2.4,Win32,22.88800897,,,left,1.6403,0,1,1,1,1,mountain_131.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_415.jpg,highway_415.jpg,highway_174.jpg,left,bridge_64.jpg,mountain_199.jpg,highway_415.jpg,playground_3.jpg,playground_3.jpg,playground_3.jpg,2,A2TW985PTHOP3A,55,male,8,2023-07-17_14h07.05.262,working,2022.2.4,Win32,22.88800897,,,right,5.0573,0,2,2,2,1,highway_174.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_223.jpg,mountain_110.jpg,right,bridge_120.jpg,playground_209.jpg,mountain_110.jpg,highway_117.jpg,highway_117.jpg,highway_117.jpg,2,A2TW985PTHOP3A,55,male,8,2023-07-17_14h07.05.262,working,2022.2.4,Win32,22.88800897,,,left,1.3597,0,3,3,3,1,mountain_223.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_70.jpg,badlands_102.jpg,badlands_70.jpg,right,playground_66.jpg,badlands_70.jpg,mountain_12.jpg,bridge_182.jpg,bridge_182.jpg,bridge_182.jpg,1,A2TW985PTHOP3A,55,male,8,2023-07-17_14h07.05.262,working,2022.2.4,Win32,22.88800897,,,left,1.1425,0,4,4,4,1,badlands_102.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_188.jpg,golf_course_160.jpg,golf_course_188.jpg,right,golf_course_188.jpg,mountain_68.jpg,highway_114.jpg,bridge_158.jpg,bridge_158.jpg,bridge_158.jpg,0,A2TW985PTHOP3A,55,male,8,2023-07-17_14h07.05.262,working,2022.2.4,Win32,22.88800897,,,right,3.3197,0,5,5,5,1,golf_course_160.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_97.jpg,mountain_230.jpg,right,mountain_230.jpg,golf_course_316.jpg,highway_248.jpg,playground_178.jpg,playground_178.jpg,playground_178.jpg,0,A2TW985PTHOP3A,55,male,8,2023-07-17_14h07.05.262,working,2022.2.4,Win32,22.88800897,,,left,2.2519,0,6,6,6,1,mountain_97.jpg,1,mountain,,,,,,,,,,,
