button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_bar_2.response,demo_bar_2.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target,category,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,key_resp_end_2.keys,key_resp_end_2.rt
1,[31.464],[31.464699998855565],AOWTBF2L04ENM,24,Female,9,2023-05-03_11h06.59.523,memory_pilot_most_recent,2022.2.4,Win32,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AOWTBF2L04ENM,24,Female,9,2023-05-03_11h06.59.523,memory_pilot_most_recent,2022.2.4,Win32,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AOWTBF2L04ENM,24,Female,9,2023-05-03_11h06.59.523,memory_pilot_most_recent,2022.2.4,Win32,59.87665409,space,8.239199999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AOWTBF2L04ENM,24,Female,9,2023-05-03_11h06.59.523,memory_pilot_most_recent,2022.2.4,Win32,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AOWTBF2L04ENM,24,Female,9,2023-05-03_11h06.59.523,memory_pilot_most_recent,2022.2.4,Win32,59.87665409,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AOWTBF2L04ENM,24,Female,9,2023-05-03_11h06.59.523,memory_pilot_most_recent,2022.2.4,Win32,59.87665409,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AOWTBF2L04ENM,24,Female,9,2023-05-03_11h06.59.523,memory_pilot_most_recent,2022.2.4,Win32,59.87665409,,,left,1,0,2,2,2,1,left.jpg,left,1.409699999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AOWTBF2L04ENM,24,Female,9,2023-05-03_11h06.59.523,memory_pilot_most_recent,2022.2.4,Win32,59.87665409,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AOWTBF2L04ENM,24,Female,9,2023-05-03_11h06.59.523,memory_pilot_most_recent,2022.2.4,Win32,59.87665409,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AOWTBF2L04ENM,24,Female,9,2023-05-03_11h06.59.523,memory_pilot_most_recent,2022.2.4,Win32,59.87665409,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
