button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_end_2.keys,key_resp_end_2.rt
1,[7.198100000023828],[7.198200000047677],A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,space,5.7234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,left,1,0,2,2,2,1,left.jpg,left,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,left,1,1.4947,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,right,1,6.9609,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,right,0,0.2727,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,left,1,2.3027,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,right,1,0.7878,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,right,0,0.7605,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,space,1.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3HFB277V5OXY0,49,Male,7,2022-12-12_10h12.20.926,memory_pilot_most_recent,2022.2.4,Win32,10.75187889,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,2238471391-240918.jpg,2901943388-69995.jpg,2,,,,,,,,,,,,,,,,
