,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
0,4,0.0,flower1.jpg,,,,12.0,left,1.0,8.148,0.0,flower1.jpg,flower1_pair.jpg,left,AOQP9IL4MK3ZQ
1,5,1.0,flower2.jpg,,,,13.0,right,1.0,3.1992,1.0,flower2_pair.jpg,flower2.jpg,right,AOQP9IL4MK3ZQ
2,6,2.0,left.jpg,left,2.0469,left,14.0,left,1.0,2.9054,2.0,flower3.jpg,flower3_pair.jpg,left,AOQP9IL4MK3ZQ
3,7,3.0,flower3.jpg,,,,15.0,left,1.0,4.1813,3.0,flower4.jpg,flower4_pair.jpg,left,AOQP9IL4MK3ZQ
4,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.8291,4.0,flower5_pair.jpg,flower5.jpg,right,AOQP9IL4MK3ZQ
5,9,5.0,flower5.jpg,,,,17.0,left,1.0,0.0131,5.0,flower6.jpg,flower6_pair.jpg,left,AOQP9IL4MK3ZQ
6,10,6.0,flower6.jpg,,,,,,,,,,,,AOQP9IL4MK3ZQ
7,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.051,0.0,flower1.jpg,flower1_pair.jpg,left,ACUK17I51KVXF
8,5,1.0,flower2.jpg,,,,13.0,left,0.0,5.178,1.0,flower2_pair.jpg,flower2.jpg,right,ACUK17I51KVXF
9,6,2.0,left.jpg,left,1.715,left,14.0,left,1.0,1.885,2.0,flower3.jpg,flower3_pair.jpg,left,ACUK17I51KVXF
10,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.852,3.0,flower4.jpg,flower4_pair.jpg,left,ACUK17I51KVXF
11,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.992,4.0,flower5_pair.jpg,flower5.jpg,right,ACUK17I51KVXF
12,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.507,5.0,flower6.jpg,flower6_pair.jpg,left,ACUK17I51KVXF
13,10,6.0,flower6.jpg,,,,,,,,,,,,ACUK17I51KVXF
14,4,0.0,flower1.jpg,,,,12.0,right,0.0,1.4542,0.0,flower1.jpg,flower1_pair.jpg,left,A96TDNBSXG3NJ
15,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.2734,1.0,flower2_pair.jpg,flower2.jpg,right,A96TDNBSXG3NJ
16,6,2.0,left.jpg,left,0.8556,left,14.0,left,1.0,1.9036,2.0,flower3.jpg,flower3_pair.jpg,left,A96TDNBSXG3NJ
17,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.9027,3.0,flower4.jpg,flower4_pair.jpg,left,A96TDNBSXG3NJ
18,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.8762,4.0,flower5_pair.jpg,flower5.jpg,right,A96TDNBSXG3NJ
19,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.8154,5.0,flower6.jpg,flower6_pair.jpg,left,A96TDNBSXG3NJ
20,10,6.0,flower6.jpg,,,,,,,,,,,,A96TDNBSXG3NJ
21,4,0.0,flower1.jpg,,,,12.0,right,0.0,8.459,0.0,flower1.jpg,flower1_pair.jpg,left,AW9ODYOD9PYHX
