button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_bar_2.response,demo_bar_2.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target,category,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,bar_2.response,bar_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,layer,key_resp_end_2.keys,key_resp_end_2.rt
1,[2.1989999999999554],[2.1989999999999554],A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,space,1.2239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,left,1,0,2,2,2,1,left.jpg,left,0.7512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,,,,,,,,,,right,0,2.5021,6,1.4575,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,,,,,,,,,,left,0,1.5868,8,1.5466,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,,,,,,,,,,left,1,1.4248,6,1.083,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,,,,,,,,,,right,0,2.4115,5,1.3265,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,,,,,,,,,,right,1,1.647,6,1.2092,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,,,,,,,,,,left,1,1.6321,6,1.2113,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A22U72IVX6D0PC,45,male,6,03-29-2023_12h22.35.805,memory_pilot_most_recent,2022.2.4,Win32,16.12955257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
