button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,key_resp_end_2.keys,key_resp_end_2.rt
1,[15.034999999999997],[15.034999999999997],A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,space,1.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,left,1,0,2,2,2,1,left.jpg,left,1.139,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,,,,,,,,,,left,1,1.679,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,,,,,,,,,,left,0,1.369,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,,,,,,,,,,left,1,1.259,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,,,,,,,,,,left,1,2.08,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,
,,,A1Y07DW8W2UXSD,30,Male,7,2023-01-11_07h58.35.902,memory_pilot_most_recent,2022.2.4,Win32,5.333333333,,,,,,,,,,,,,left,0,1.385,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,
