key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,6.8868,right,34.9016,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,AKBDLLKJCG680,32,female,7,2023-07-18_15h44.33.905,working,2022.2.4,Win32,6.448534248,,,,,,,,,,,,,,,,,,,,,,,
,,,right,3.5576,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,AKBDLLKJCG680,32,female,7,2023-07-18_15h44.33.905,working,2022.2.4,Win32,6.448534248,,,,,,,,,,,,,,,,,,,,,,,
,,,left,3.5243,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,AKBDLLKJCG680,32,female,7,2023-07-18_15h44.33.905,working,2022.2.4,Win32,6.448534248,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,badlands_24.jpg,badlands_24.jpg,badlands_3.jpg,left,bridge_10.jpg,playground_41.jpg,badlands_24.jpg,highway_398.jpg,highway_398.jpg,highway_398.jpg,2,AKBDLLKJCG680,32,female,7,2023-07-18_15h44.33.905,working,2022.2.4,Win32,6.448534248,space,42.5722,left,3.1248,0,0,0,0,1,badlands_3.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_134.jpg,bridge_250.jpg,right,mountain_12.jpg,golf_course_128.jpg,bridge_250.jpg,badlands_104.jpg,badlands_104.jpg,badlands_104.jpg,2,AKBDLLKJCG680,32,female,7,2023-07-18_15h44.33.905,working,2022.2.4,Win32,6.448534248,,,right,2.3373,0,1,1,1,1,bridge_134.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,highway_359.jpg,highway_379.jpg,highway_359.jpg,right,badlands_108.jpg,bridge_25.jpg,highway_359.jpg,playground_54.jpg,playground_54.jpg,playground_54.jpg,2,AKBDLLKJCG680,32,female,7,2023-07-18_15h44.33.905,working,2022.2.4,Win32,6.448534248,,,left,5.3402,0,2,2,2,1,highway_379.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,golf_course_188.jpg,golf_course_188.jpg,golf_course_157.jpg,left,mountain_228.jpg,golf_course_188.jpg,bridge_21.jpg,badlands_54.jpg,badlands_54.jpg,badlands_54.jpg,1,AKBDLLKJCG680,32,female,7,2023-07-18_15h44.33.905,working,2022.2.4,Win32,6.448534248,,,left,123.6667,0,3,3,3,1,golf_course_157.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_309.jpg,golf_course_209.jpg,left,golf_course_309.jpg,badlands_27.jpg,highway_319.jpg,bridge_263.jpg,bridge_263.jpg,bridge_263.jpg,0,AKBDLLKJCG680,32,female,7,2023-07-18_15h44.33.905,working,2022.2.4,Win32,6.448534248,,,left,2.8204,0,4,4,4,1,golf_course_209.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,playground_145.jpg,playground_229.jpg,playground_145.jpg,right,golf_course_229.jpg,playground_145.jpg,bridge_218.jpg,mountain_132.jpg,mountain_132.jpg,mountain_132.jpg,1,AKBDLLKJCG680,32,female,7,2023-07-18_15h44.33.905,working,2022.2.4,Win32,6.448534248,,,right,2.3047,0,5,5,5,1,playground_229.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_10.jpg,playground_12.jpg,left,highway_149.jpg,golf_course_185.jpg,playground_10.jpg,mountain_24.jpg,mountain_24.jpg,mountain_24.jpg,2,AKBDLLKJCG680,32,female,7,2023-07-18_15h44.33.905,working,2022.2.4,Win32,6.448534248,,,right,41.0999,0,6,6,6,1,playground_12.jpg,1,playground,,,,,,,,,,,
